"","Commonality","R2","Age_z.Inc","DAN_z.Inc","DAN_Wz.Inc","Motion_z.Inc","sex.Inc"
"Age_z","0.312(0.246,0.376)","0.457(0.400,0.517)","NA","0.004(0.000,0.017)","0.000(0,0.005)","0.005(0.000,0.021)","0.007(0.000,0.022)"
"DAN_z","0.004(0.000,0.016)","0.042(0.012,0.083)","0.419(0.360,0.483)","NA","0.000(0,0.010)","0.115(0.063,0.179)","0.004(0.000,0.021)"
"DAN_Wz","0.000(0.000,0.005)","0.001(0.000,0.015)","0.456(0.396,0.513)","0.041(0.011,0.081)","NA","0.126(0.073,0.192)","0.006(0.000,0.028)"
"Motion_z","0.004(0.000,0.020)","0.127(0.073,0.194)","0.334(0.269,0.402)","0.030(0.007,0.062)","0.000(0,0.010)","NA","0.003(0.000,0.018)"
"sex","0.005(0.000,0.019)","0.006(0.000,0.027)","0.458(0.401,0.513)","0.040(0.011,0.080)","0.001(0,0.015)","0.124(0.070,0.190)","NA"
"Age_z,DAN_z","0.025(0.006,0.049)","0.461(0.407,0.519)","NA","NA","0.000(0,0.005)","0.005(0.000,0.020)","0.006(0.000,0.020)"
"Age_z,DAN_Wz","0.000(-0.002,0.007)","0.457(0.400,0.517)","NA","0.004(0.000,0.018)","NA","0.005(0.000,0.021)","0.007(0.001,0.022)"
"DAN_z,DAN_Wz","0.000(-0.002,0.002)","0.042(0.014,0.084)","0.419(0.357,0.481)","NA","NA","0.115(0.063,0.180)","0.004(0.000,0.021)"
"Age_z,Motion_z","0.109(0.061,0.160)","0.461(0.409,0.520)","NA","0.004(0.000,0.017)","0.000(0,0.005)","NA","0.006(0.000,0.020)"
"DAN_z,Motion_z","0.000(-0.001,0.001)","0.157(0.100,0.224)","0.309(0.245,0.377)","NA","0.000(0,0.010)","NA","0.002(0.000,0.015)"
"DAN_Wz,Motion_z","0.000(-0.001,0.000)","0.128(0.075,0.195)","0.334(0.268,0.401)","0.030(0.007,0.064)","NA","NA","0.003(0.000,0.019)"
"Age_z,sex","-0.004(-0.010,0.004)","0.464(0.410,0.523)","NA","0.004(0.000,0.015)","0.000(0,0.005)","0.004(0.000,0.020)","NA"
"DAN_z,sex","0.001(0.000,0.003)","0.046(0.015,0.093)","0.421(0.361,0.484)","NA","0.000(0,0.010)","0.113(0.061,0.177)","NA"
"DAN_Wz,sex","0.000(-0.001,0.001)","0.007(0.001,0.034)","0.457(0.398,0.511)","0.039(0.010,0.079)","NA","0.123(0.070,0.187)","NA"
"Motion_z,sex","0.001(0.000,0.003)","0.130(0.078,0.198)","0.337(0.270,0.405)","0.029(0.007,0.060)","0.000(0,0.009)","NA","NA"
"Age_z,DAN_z,DAN_Wz","0.000(-0.005,0.005)","0.461(0.407,0.520)","NA","NA","NA","0.005(0.000,0.021)","0.006(0.000,0.020)"
"Age_z,DAN_z,Motion_z","0.010(0.000,0.025)","0.466(0.416,0.526)","NA","NA","0.000(0,0.006)","NA","0.006(0.000,0.019)"
"Age_z,DAN_Wz,Motion_z","0.000(-0.003,0.003)","0.461(0.410,0.521)","NA","0.004(0.000,0.018)","NA","NA","0.006(0.000,0.020)"
"DAN_z,DAN_Wz,Motion_z","0.000(0.000,0.000)","0.157(0.104,0.226)","0.308(0.245,0.376)","NA","NA","NA","0.002(0.000,0.015)"
"Age_z,DAN_z,sex","0.000(-0.002,0.003)","0.467(0.414,0.526)","NA","NA","0.000(0,0.005)","0.004(0.000,0.019)","NA"
"Age_z,DAN_Wz,sex","0.000(-0.001,0.001)","0.464(0.411,0.524)","NA","0.004(0.000,0.016)","NA","0.004(0.000,0.019)","NA"
"DAN_z,DAN_Wz,sex","0.000(-0.001,0.000)","0.046(0.017,0.094)","0.421(0.359,0.483)","NA","NA","0.113(0.061,0.177)","NA"
"Age_z,Motion_z,sex","0.001(-0.002,0.008)","0.468(0.416,0.530)","NA","0.004(0.000,0.015)","0.000(0,0.005)","NA","NA"
"DAN_z,Motion_z,sex","0.000(0.000,0.000)","0.159(0.105,0.232)","0.312(0.248,0.378)","NA","0.000(0,0.010)","NA","NA"
"DAN_Wz,Motion_z,sex","0.000(0.000,0.000)","0.131(0.080,0.202)","0.337(0.270,0.405)","0.029(0.007,0.060)","NA","NA","NA"
"Age_z,DAN_z,DAN_Wz,Motion_z","0.001(-0.001,0.005)","0.466(0.417,0.527)","NA","NA","NA","NA","0.005(0.000,0.019)"
"Age_z,DAN_z,DAN_Wz,sex","0.000(-0.001,0.000)","0.467(0.415,0.527)","NA","NA","NA","0.004(0.000,0.020)","NA"
"Age_z,DAN_z,Motion_z,sex","0.001(0.000,0.003)","0.471(0.421,0.534)","NA","NA","0.000(0,0.005)","NA","NA"
"Age_z,DAN_Wz,Motion_z,sex","0.000(0.000,0.000)","0.468(0.417,0.532)","NA","0.004(0.000,0.016)","NA","NA","NA"
"DAN_z,DAN_Wz,Motion_z,sex","0.000(0.000,0.000)","0.159(0.107,0.234)","0.312(0.246,0.376)","NA","NA","NA","NA"
"Age_z,DAN_z,DAN_Wz,Motion_z,sex","0.000(0.000,0.000)","0.471(0.421,0.536)","NA","NA","NA","NA","NA"
