"","Commonality","R2","Age_z.Inc","FP_z.Inc","FP_Wz.Inc","Motion_z.Inc","sex.Inc"
"Age_z","0.280(0.217,0.338)","0.457(0.398,0.513)","NA","0.010(0.001,0.027)","0.002(0.000,0.012)","0.005(0.000,0.021)","0.007(0,0.022)"
"FP_z","0.012(0.002,0.029)","0.098(0.053,0.154)","0.369(0.307,0.427)","NA","0.013(0.001,0.040)","0.094(0.050,0.146)","0.003(0,0.018)"
"FP_Wz","0.005(0.000,0.018)","0.000(0.000,0.013)","0.458(0.400,0.513)","0.110(0.063,0.172)","NA","0.127(0.074,0.188)","0.006(0,0.027)"
"Motion_z","0.003(0.000,0.016)","0.127(0.074,0.189)","0.334(0.270,0.401)","0.065(0.034,0.110)","0.000(0.000,0.009)","NA","0.003(0,0.019)"
"sex","0.005(0.000,0.018)","0.006(0.000,0.027)","0.458(0.400,0.514)","0.094(0.051,0.153)","0.000(0.000,0.013)","0.124(0.072,0.184)","NA"
"Age_z,FP_z","0.059(0.032,0.094)","0.467(0.410,0.523)","NA","NA","0.006(0.000,0.020)","0.004(0.000,0.019)","0.006(0,0.019)"
"Age_z,FP_Wz","0.003(-0.003,0.015)","0.458(0.404,0.518)","NA","0.014(0.003,0.032)","NA","0.004(0.000,0.020)","0.007(0,0.022)"
"FP_z,FP_Wz","-0.003(-0.009,0.000)","0.110(0.065,0.174)","0.362(0.297,0.420)","NA","NA","0.090(0.047,0.142)","0.003(0,0.018)"
"Age_z,Motion_z","0.085(0.046,0.124)","0.461(0.404,0.521)","NA","0.010(0.001,0.026)","0.002(0.000,0.011)","NA","0.006(0,0.020)"
"FP_z,Motion_z","0.001(0.000,0.003)","0.192(0.134,0.256)","0.279(0.220,0.340)","NA","0.008(0.000,0.028)","NA","0.001(0,0.013)"
"FP_Wz,Motion_z","0.000(0.000,0.002)","0.127(0.077,0.192)","0.335(0.270,0.403)","0.073(0.038,0.121)","NA","NA","0.003(0,0.019)"
"Age_z,sex","-0.004(-0.010,0.003)","0.464(0.407,0.519)","NA","0.009(0.001,0.026)","0.002(0.000,0.012)","0.004(0.000,0.018)","NA"
"FP_z,sex","0.001(0.000,0.004)","0.100(0.056,0.160)","0.372(0.310,0.431)","NA","0.013(0.001,0.039)","0.093(0.049,0.144)","NA"
"FP_Wz,sex","0.000(-0.001,0.001)","0.006(0.000,0.030)","0.459(0.398,0.514)","0.107(0.059,0.169)","NA","0.124(0.072,0.184)","NA"
"Motion_z,sex","0.001(0.000,0.002)","0.130(0.079,0.192)","0.337(0.272,0.404)","0.063(0.033,0.109)","0.000(0.000,0.009)","NA","NA"
"Age_z,FP_z,FP_Wz","-0.004(-0.014,0.005)","0.473(0.418,0.530)","NA","NA","NA","0.004(0.000,0.017)","0.006(0,0.019)"
"Age_z,FP_z,Motion_z","0.035(0.015,0.059)","0.471(0.415,0.529)","NA","NA","0.005(0.000,0.018)","NA","0.005(0,0.018)"
"Age_z,FP_Wz,Motion_z","0.004(0.000,0.013)","0.463(0.408,0.523)","NA","0.013(0.003,0.031)","NA","NA","0.007(0,0.021)"
"FP_z,FP_Wz,Motion_z","0.000(-0.001,0.000)","0.200(0.142,0.266)","0.276(0.214,0.337)","NA","NA","NA","0.001(0,0.013)"
"Age_z,FP_z,sex","0.000(-0.003,0.005)","0.473(0.418,0.528)","NA","NA","0.006(0.000,0.020)","0.003(0.000,0.017)","NA"
"Age_z,FP_Wz,sex","0.000(-0.001,0.001)","0.466(0.410,0.524)","NA","0.013(0.002,0.030)","NA","0.004(0.000,0.018)","NA"
"FP_z,FP_Wz,sex","0.000(-0.001,0.000)","0.113(0.070,0.178)","0.365(0.299,0.420)","NA","NA","0.088(0.046,0.137)","NA"
"Age_z,Motion_z,sex","0.001(-0.002,0.005)","0.468(0.412,0.526)","NA","0.009(0.001,0.024)","0.002(0.000,0.011)","NA","NA"
"FP_z,Motion_z,sex","0.000(0.000,0.001)","0.193(0.137,0.258)","0.283(0.223,0.343)","NA","0.008(0.000,0.028)","NA","NA"
"FP_Wz,Motion_z,sex","0.000(0.000,0.000)","0.130(0.080,0.195)","0.339(0.272,0.404)","0.071(0.036,0.119)","NA","NA","NA"
"Age_z,FP_z,FP_Wz,Motion_z","-0.004(-0.010,0.001)","0.476(0.422,0.536)","NA","NA","NA","NA","0.005(0,0.018)"
"Age_z,FP_z,FP_Wz,sex","0.000(0.000,0.001)","0.478(0.423,0.535)","NA","NA","NA","0.003(0.000,0.016)","NA"
"Age_z,FP_z,Motion_z,sex","0.002(0.000,0.005)","0.476(0.423,0.533)","NA","NA","0.005(0.000,0.018)","NA","NA"
"Age_z,FP_Wz,Motion_z,sex","0.000(0.000,0.001)","0.469(0.416,0.528)","NA","0.012(0.002,0.029)","NA","NA","NA"
"FP_z,FP_Wz,Motion_z,sex","0.000(0.000,0.000)","0.201(0.145,0.269)","0.280(0.217,0.338)","NA","NA","NA","NA"
"Age_z,FP_z,FP_Wz,Motion_z,sex","0.000(0.000,0.000)","0.481(0.428,0.540)","NA","NA","NA","NA","NA"
