"","Commonality","R2","Age_z.Inc","SM_z.Inc","SM_Wz.Inc","Motion_z.Inc","sex.Inc"
"Age_z","0.332(0.264,0.395)","0.457(0.403,0.511)","NA","0.001(0,0.009)","0.001(0,0.008)","0.005(0.000,0.021)","0.007(0,0.023)"
"SM_z","0.000(0.000,0.007)","0.003(0.000,0.020)","0.454(0.398,0.508)","NA","0.004(0,0.020)","0.129(0.076,0.196)","0.007(0,0.029)"
"SM_Wz","0.001(0.000,0.007)","0.004(0.000,0.020)","0.453(0.399,0.508)","0.003(0,0.020)","NA","0.123(0.072,0.188)","0.006(0,0.026)"
"Motion_z","0.003(0.000,0.018)","0.127(0.074,0.197)","0.334(0.271,0.399)","0.005(0,0.021)","0.000(0,0.008)","NA","0.003(0,0.019)"
"sex","0.006(0.000,0.021)","0.006(0.000,0.027)","0.458(0.403,0.510)","0.004(0,0.021)","0.004(0,0.020)","0.124(0.074,0.192)","NA"
"Age_z,SM_z","0.005(-0.006,0.021)","0.458(0.404,0.512)","NA","NA","0.001(0,0.008)","0.004(0.000,0.021)","0.007(0,0.022)"
"Age_z,SM_Wz","0.000(-0.003,0.005)","0.458(0.405,0.513)","NA","0.001(0,0.009)","NA","0.004(0.000,0.020)","0.007(0,0.023)"
"SM_z,SM_Wz","0.000(0.000,0.000)","0.008(0.001,0.029)","0.451(0.393,0.505)","NA","NA","0.125(0.073,0.188)","0.006(0,0.028)"
"Age_z,Motion_z","0.119(0.072,0.170)","0.461(0.409,0.519)","NA","0.001(0,0.008)","0.001(0,0.007)","NA","0.006(0,0.022)"
"SM_z,Motion_z","0.000(-0.001,0.001)","0.132(0.082,0.203)","0.330(0.264,0.393)","NA","0.000(0,0.008)","NA","0.004(0,0.021)"
"SM_Wz,Motion_z","0.000(-0.001,0.002)","0.128(0.077,0.198)","0.334(0.272,0.399)","0.005(0,0.021)","NA","NA","0.003(0,0.019)"
"Age_z,sex","-0.002(-0.009,0.007)","0.464(0.414,0.518)","NA","0.000(0,0.008)","0.001(0,0.008)","0.004(0.000,0.019)","NA"
"SM_z,sex","0.000(-0.001,0.002)","0.010(0.001,0.035)","0.454(0.395,0.507)","NA","0.004(0,0.019)","0.126(0.075,0.192)","NA"
"SM_Wz,sex","0.000(-0.001,0.001)","0.010(0.001,0.035)","0.455(0.399,0.508)","0.004(0,0.022)","NA","0.121(0.071,0.184)","NA"
"Motion_z,sex","0.001(0.000,0.003)","0.130(0.079,0.199)","0.337(0.272,0.400)","0.006(0,0.022)","0.000(0,0.008)","NA","NA"
"Age_z,SM_z,SM_Wz","0.000(-0.001,0.001)","0.459(0.406,0.515)","NA","NA","NA","0.004(0.000,0.019)","0.007(0,0.022)"
"Age_z,SM_z,Motion_z","-0.002(-0.006,0.003)","0.462(0.410,0.520)","NA","NA","0.001(0,0.007)","NA","0.006(0,0.021)"
"Age_z,SM_Wz,Motion_z","0.003(-0.003,0.013)","0.462(0.409,0.520)","NA","0.001(0,0.008)","NA","NA","0.006(0,0.022)"
"SM_z,SM_Wz,Motion_z","0.000(0.000,0.000)","0.132(0.084,0.204)","0.330(0.263,0.394)","NA","NA","NA","0.004(0,0.021)"
"Age_z,SM_z,sex","-0.001(-0.004,0.000)","0.464(0.417,0.520)","NA","NA","0.001(0,0.008)","0.004(0.000,0.018)","NA"
"Age_z,SM_Wz,sex","0.000(-0.001,0.001)","0.465(0.416,0.520)","NA","0.000(0,0.008)","NA","0.003(0.000,0.018)","NA"
"SM_z,SM_Wz,sex","0.000(0.000,0.000)","0.014(0.003,0.044)","0.451(0.393,0.503)","NA","NA","0.122(0.073,0.184)","NA"
"Age_z,Motion_z,sex","0.002(-0.002,0.010)","0.468(0.418,0.524)","NA","0.000(0,0.007)","0.000(0,0.006)","NA","NA"
"SM_z,Motion_z,sex","0.000(0.000,0.001)","0.136(0.088,0.205)","0.332(0.266,0.396)","NA","0.000(0,0.007)","NA","NA"
"SM_Wz,Motion_z,sex","0.000(0.000,0.000)","0.131(0.080,0.200)","0.338(0.273,0.400)","0.006(0,0.022)","NA","NA","NA"
"Age_z,SM_z,SM_Wz,Motion_z","0.000(-0.001,0.001)","0.462(0.411,0.522)","NA","NA","NA","NA","0.006(0,0.021)"
"Age_z,SM_z,SM_Wz,sex","0.000(0.000,0.000)","0.465(0.417,0.522)","NA","NA","NA","0.003(0.000,0.018)","NA"
"Age_z,SM_z,Motion_z,sex","0.000(-0.001,0.000)","0.468(0.419,0.526)","NA","NA","0.001(0,0.007)","NA","NA"
"Age_z,SM_Wz,Motion_z,sex","0.000(0.000,0.001)","0.468(0.419,0.526)","NA","0.000(0,0.007)","NA","NA","NA"
"SM_z,SM_Wz,Motion_z,sex","0.000(0.000,0.000)","0.136(0.089,0.205)","0.332(0.264,0.395)","NA","NA","NA","NA"
"Age_z,SM_z,SM_Wz,Motion_z,sex","0.000(0.000,0.000)","0.468(0.419,0.527)","NA","NA","NA","NA","NA"
